Time: 2: Elf Garry:     Selected toy whistle, girl
Time: 197: Elf Garry:     Placed toy fake tattoo, girl
Time: 198: Elf Garry:     Selected toy fake tattoo, girl
Time: 199: Elf Garry:     Wrapped toy fake tattoo, girl
Time: 199: Elf Garry:     Placed toy fake tattoo, girl
Time: 200: Elf Garry:     Selected toy whistle, boy
Time: 200: Elf Garry:     Wrapped toy whistle, boy
Time: 201: Elf Garry:     Placed toy whistle, boy
Time: 202: Elf Garry:     Selected toy whistle, girl
Time: 203: Elf Garry:     Wrapped toy whistle, girl
Time: 204: Elf Garry:     Placed toy whistle, girl
Time: 205: Elf Garry:     Selected toy doll, girl
Time: 205: Elf Garry:     Wrapped toy doll, girl
Time: 205: Elf Garry:     Placed toy doll, girl
Time: 206: Elf Garry:     Selected toy doll, girl
Time: 207: Elf Garry:     Wrapped toy doll, girl
Time: 207: Elf Garry:     Placed toy doll, girl
Time: 208: Elf Garry:     Selected toy bracelet, girl
Time: 209: Elf Garry:     Wrapped toy bracelet, girl
Time: 210: Elf Garry:     Placed toy bracelet, girl
Time: 211: Elf Garry:     Selected toy bracelet, boy
Time: 212: Elf Garry:     Wrapped toy bracelet, boy
Time: 213: Elf Garry:     Placed toy bracelet, boy
Time: 214: Elf Garry:     Selected toy fake tattoo, girl
Time: 214: Elf Garry:     Wrapped toy fake tattoo, girl
Time: 214: Elf Garry:     Placed toy fake tattoo, girl
Time: 215: Elf Garry:     Selected toy train, boy
Time: 216: Elf Garry:     Wrapped toy train, boy
Time: 216: Elf Garry:     Placed toy train, boy
Time: 217: Elf Garry:     Selected toy doll, boy
Time: 218: Elf Garry:     Wrapped toy doll, boy
Time: 218: Elf Garry:     Placed toy doll, boy
Time: 220: Elf Garry:     Selected toy doll, girl
Time: 220: Elf Garry:     Wrapped toy doll, girl
Time: 220: Elf Garry:     Placed toy doll, girl
Time: 221: Elf Garry:     Selected toy train, girl
Time: 222: Elf Garry:     Wrapped toy train, girl
Time: 222: Elf Garry:     Placed toy train, girl
Time: 224: Elf Garry:     Selected toy dinosaur, girl
Time: 224: Elf Garry:     Wrapped toy dinosaur, girl
Time: 224: Elf Garry:     Placed toy dinosaur, girl
Time: 225: Elf Garry:     Selected toy whistle, boy
Time: 225: Elf Garry:     Wrapped toy whistle, boy
Time: 225: Elf Garry:     Placed toy whistle, boy
Time: 226: Elf Garry:     Selected toy fake tattoo, girl
Time: 227: Elf Garry:     Wrapped toy fake tattoo, girl
Time: 227: Elf Garry:     Placed toy fake tattoo, girl
Time: 228: Elf Garry:     Selected toy bracelet, girl
Time: 229: Elf Garry:     Wrapped toy bracelet, girl
Time: 229: Elf Garry:     Placed toy bracelet, girl
Time: 230: Elf Garry:     Selected toy dinosaur, boy
Time: 230: Elf Garry:     Wrapped toy dinosaur, boy
Time: 230: Elf Garry:     Placed toy dinosaur, boy
Time: 231: Elf Garry:     Selected toy doll, boy
Time: 231: Elf Garry:     Wrapped toy doll, boy
Time: 232: Elf Garry:     Placed toy doll, boy
Time: 234: Elf Garry:     Selected toy dinosaur, boy
Time: 234: Elf Garry:     Wrapped toy dinosaur, boy
Time: 234: Elf Garry:     Placed toy dinosaur, boy
Time: 235: Elf Garry:     Selected toy doll, boy
Time: 236: Elf Garry:     Wrapped toy doll, boy
Time: 237: Elf Garry:     Placed toy doll, boy
Time: 237: Elf Garry:     Selected toy train, boy
Time: 238: Elf Garry:     Wrapped toy train, boy
Time: 239: Elf Garry:     Placed toy train, boy
Time: 241: Elf Garry:     Selected toy dinosaur, boy
Time: 241: Elf Garry:     Wrapped toy dinosaur, boy
Time: 242: Elf Garry:     Placed toy dinosaur, boy
Time: 244: Elf Garry:     Selected toy train, boy
Time: 244: Elf Garry:     Wrapped toy train, boy
Time: 245: Elf Garry:     Placed toy train, boy
Time: 245: Elf Garry:     Selected toy bracelet, boy
Time: 246: Elf Garry:     Wrapped toy bracelet, boy
Time: 246: Elf Garry:     Placed toy bracelet, boy
Time: 247: Elf Garry:     Selected toy doll, girl
Time: 247: Elf Garry:     Wrapped toy doll, girl
Time: 248: Elf Garry:     Placed toy doll, girl
Time: 249: Elf Garry:     Selected toy train, girl
Time: 249: Elf Garry:     Wrapped toy train, girl
Time: 249: Elf Garry:     Placed toy train, girl
Time: 251: Elf Garry:     Selected toy dinosaur, boy
Time: 251: Elf Garry:     Wrapped toy dinosaur, boy
Time: 251: Elf Garry:     Placed toy dinosaur, boy
Time: 252: Elf Garry:     Selected toy dinosaur, boy
Time: 252: Elf Garry:     Wrapped toy dinosaur, boy
Time: 253: Elf Garry:     Placed toy dinosaur, boy
Time: 254: Elf Garry:     Selected toy whistle, boy
Time: 255: Elf Garry:     Wrapped toy whistle, boy
Time: 256: Elf Garry:     Placed toy whistle, boy
Time: 256: Elf Garry:     Selected toy train, boy
Time: 257: Elf Garry:     Wrapped toy train, boy
Time: 258: Elf Garry:     Placed toy train, boy
Time: 259: Elf Garry:     Selected toy dinosaur, girl
Time: 259: Elf Garry:     Wrapped toy dinosaur, girl
Time: 259: Elf Garry:     Placed toy dinosaur, girl
Time: 260: Elf Garry:     Selected toy doll, girl
Time: 261: Elf Garry:     Wrapped toy doll, girl
Time: 261: Elf Garry:     Placed toy doll, girl
Time: 262: Elf Garry:     Selected toy dinosaur, girl
Time: 263: Elf Garry:     Wrapped toy dinosaur, girl
Time: 264: Elf Garry:     Placed toy dinosaur, girl
Time: 264: Elf Garry:     Selected toy whistle, girl
Time: 265: Elf Garry:     Wrapped toy whistle, girl
Time: 266: Elf Garry:     Placed toy whistle, girl
Time: 266: Elf Garry:     Selected toy doll, boy
Time: 267: Elf Garry:     Wrapped toy doll, boy
Time: 268: Elf Garry:     Placed toy doll, boy
Time: 269: Elf Garry:     Selected toy bracelet, girl
Time: 269: Elf Garry:     Wrapped toy bracelet, girl
Time: 269: Elf Garry:     Placed toy bracelet, girl
Time: 270: Elf Garry:     Selected toy dinosaur, boy
Time: 271: Elf Garry:     Wrapped toy dinosaur, boy
Time: 272: Elf Garry:     Placed toy dinosaur, boy
Time: 273: Elf Garry:     Selected toy doll, girl
Time: 273: Elf Garry:     Wrapped toy doll, girl
Time: 274: Elf Garry:     Placed toy doll, girl
Time: 275: Elf Garry:     Selected toy train, boy
Time: 275: Elf Garry:     Wrapped toy train, boy
Time: 276: Elf Garry:     Placed toy train, boy
Time: 278: Elf Garry:     Selected toy dinosaur, girl
Time: 278: Elf Garry:     Wrapped toy dinosaur, girl
Time: 278: Elf Garry:     Placed toy dinosaur, girl
Time: 279: Elf Garry:     Selected toy fake tattoo, girl
Time: 280: Elf Garry:     Wrapped toy fake tattoo, girl
Time: 280: Elf Garry:     Placed toy fake tattoo, girl
Time: 281: Elf Garry:     Selected toy doll, boy
Time: 282: Elf Garry:     Wrapped toy doll, boy
Time: 283: Elf Garry:     Placed toy doll, boy
Time: 284: Elf Garry:     Selected toy dinosaur, boy
Time: 284: Elf Garry:     Wrapped toy dinosaur, boy
Time: 284: Elf Garry:     Placed toy dinosaur, boy
Time: 286: Elf Garry:     Selected toy dinosaur, girl
Time: 286: Elf Garry:     Wrapped toy dinosaur, girl
Time: 287: Elf Garry:     Placed toy dinosaur, girl
Time: 288: Elf Garry:     Selected toy dinosaur, girl
Time: 288: Elf Garry:     Wrapped toy dinosaur, girl
Time: 289: Elf Garry:     Placed toy dinosaur, girl
Time: 289: Elf Garry:     Selected toy bracelet, boy
Time: 289: Elf Garry:     Wrapped toy bracelet, boy
Time: 290: Elf Garry:     Placed toy bracelet, boy
Time: 292: Elf Garry:     Selected toy dinosaur, boy
Time: 292: Elf Garry:     Wrapped toy dinosaur, boy
Time: 292: Elf Garry:     Placed toy dinosaur, boy
Time: 293: Elf Garry:     Selected toy whistle, boy
Time: 293: Elf Garry:     Wrapped toy whistle, boy
Time: 294: Elf Garry:     Placed toy whistle, boy
Time: 296: Elf Garry:     Selected toy train, girl
Time: 296: Elf Garry:     Wrapped toy train, girl
Time: 297: Elf Garry:     Placed toy train, girl
Time: 298: Elf Garry:     Selected toy train, boy
Time: 299: Elf Garry:     Wrapped toy train, boy
Time: 299: Elf Garry:     Placed toy train, boy
Time: 299: Elf Garry:     Selected toy bracelet, boy
Time: 300: Elf Garry:     Wrapped toy bracelet, boy
Time: 300: Elf Garry:     Placed toy bracelet, boy
Time: 301: Elf Garry:     Selected toy fake tattoo, girl
Time: 302: Elf Garry:     Wrapped toy fake tattoo, girl
Time: 303: Elf Garry:     Placed toy fake tattoo, girl
Time: 304: Elf Garry:     Selected toy bracelet, girl
Time: 304: Elf Garry:     Wrapped toy bracelet, girl
Time: 304: Elf Garry:     Placed toy bracelet, girl
Time: 304: Elf Garry:     Selected toy train, boy
Time: 305: Elf Garry:     Wrapped toy train, boy
Time: 305: Elf Garry:     Placed toy train, boy
Time: 307: Elf Garry:     Selected toy bracelet, girl
Time: 307: Elf Garry:     Wrapped toy bracelet, girl
Time: 308: Elf Garry:     Placed toy bracelet, girl
Time: 310: Elf Garry:     Selected toy dinosaur, girl
Time: 310: Elf Garry:     Wrapped toy dinosaur, girl
Time: 310: Elf Garry:     Placed toy dinosaur, girl
Time: 312: Elf Garry:     Selected toy bracelet, boy
Time: 312: Elf Garry:     Wrapped toy bracelet, boy
Time: 313: Elf Garry:     Placed toy bracelet, boy
Time: 314: Elf Garry:     Selected toy bracelet, girl
Time: 315: Elf Garry:     Wrapped toy bracelet, girl
Time: 315: Elf Garry:     Placed toy bracelet, girl
Time: 316: Elf Garry:     Selected toy train, boy
Time: 317: Elf Garry:     Wrapped toy train, boy
Time: 317: Elf Garry:     Placed toy train, boy
Time: 318: Elf Garry:     Selected toy bracelet, boy
Time: 319: Elf Garry:     Wrapped toy bracelet, boy
Time: 319: Elf Garry:     Placed toy bracelet, boy
Time: 320: Elf Garry:     Selected toy bracelet, boy
Time: 320: Elf Garry:     Wrapped toy bracelet, boy
Time: 321: Elf Garry:     Placed toy bracelet, boy
Time: 321: Elf Garry:     Selected toy dinosaur, girl
Time: 321: Elf Garry:     Wrapped toy dinosaur, girl
Time: 322: Elf Garry:     Placed toy dinosaur, girl
Time: 323: Elf Garry:     Selected toy dinosaur, girl
Time: 323: Elf Garry:     Wrapped toy dinosaur, girl
Time: 324: Elf Garry:     Placed toy dinosaur, girl
Time: 325: Elf Garry:     Selected toy doll, girl
Time: 325: Elf Garry:     Wrapped toy doll, girl
Time: 325: Elf Garry:     Placed toy doll, girl
Time: 326: Elf Garry:     Selected toy train, girl
Time: 327: Elf Garry:     Wrapped toy train, girl
Time: 327: Elf Garry:     Placed toy train, girl
Time: 329: Elf Garry:     Selected toy doll, boy
Time: 330: Elf Garry:     Wrapped toy doll, boy
Time: 330: Elf Garry:     Placed toy doll, boy
Time: 331: Elf Garry:     Selected toy doll, boy
Time: 331: Elf Garry:     Wrapped toy doll, boy
Time: 332: Elf Garry:     Placed toy doll, boy
Time: 333: Elf Garry:     Selected toy train, girl
Time: 334: Elf Garry:     Wrapped toy train, girl
Time: 335: Elf Garry:     Placed toy train, girl
Time: 336: Elf Garry:     Selected toy train, girl
Time: 336: Elf Garry:     Wrapped toy train, girl
Time: 336: Elf Garry:     Placed toy train, girl
Time: 338: Elf Garry:     Selected toy doll, boy
Time: 338: Elf Garry:     Wrapped toy doll, boy
Time: 339: Elf Garry:     Placed toy doll, boy
Time: 340: Elf Garry:     Selected toy fake tattoo, girl
Time: 341: Elf Garry:     Wrapped toy fake tattoo, girl
Time: 341: Elf Garry:     Placed toy fake tattoo, girl
Time: 342: Elf Garry:     Selected toy fake tattoo, girl
Time: 342: Elf Garry:     Wrapped toy fake tattoo, girl
Time: 343: Elf Garry:     Placed toy fake tattoo, girl
Time: 344: Elf Garry:     Selected toy fake tattoo, boy
Time: 345: Elf Garry:     Wrapped toy fake tattoo, boy
Time: 346: Elf Garry:     Placed toy fake tattoo, boy
Time: 347: Elf Garry:     Selected toy train, boy
