Time: 1: Elf David:     Selected toy whistle, boy
Time: 121: Elf David:     Selected toy fake tattoo, girl
Time: 122: Elf David:     Wrapped toy fake tattoo, girl
Time: 122: Elf David:     Placed toy fake tattoo, girl
Time: 122: Elf David:     Selected toy doll, boy
Time: 122: Elf David:     Wrapped toy doll, boy
Time: 123: Elf David:     Placed toy doll, boy
Time: 124: Elf David:     Selected toy fake tattoo, girl
Time: 124: Elf David:     Wrapped toy fake tattoo, girl
Time: 124: Elf David:     Placed toy fake tattoo, girl
Time: 125: Elf David:     Selected toy dinosaur, girl
Time: 126: Elf David:     Wrapped toy dinosaur, girl
Time: 126: Elf David:     Placed toy dinosaur, girl
Time: 127: Elf David:     Selected toy whistle, boy
Time: 128: Elf David:     Wrapped toy whistle, boy
Time: 129: Elf David:     Placed toy whistle, boy
Time: 130: Elf David:     Selected toy bracelet, boy
Time: 130: Elf David:     Wrapped toy bracelet, boy
Time: 131: Elf David:     Placed toy bracelet, boy
Time: 131: Elf David:     Selected toy train, boy
Time: 132: Elf David:     Wrapped toy train, boy
Time: 132: Elf David:     Placed toy train, boy
Time: 133: Elf David:     Selected toy bracelet, boy
Time: 133: Elf David:     Wrapped toy bracelet, boy
Time: 133: Elf David:     Placed toy bracelet, boy
Time: 135: Elf David:     Selected toy train, girl
Time: 135: Elf David:     Wrapped toy train, girl
Time: 136: Elf David:     Placed toy train, girl
Time: 136: Elf David:     Selected toy train, boy
Time: 136: Elf David:     Wrapped toy train, boy
Time: 137: Elf David:     Placed toy train, boy
Time: 138: Elf David:     Selected toy fake tattoo, boy
Time: 138: Elf David:     Wrapped toy fake tattoo, boy
Time: 139: Elf David:     Placed toy fake tattoo, boy
Time: 140: Elf David:     Selected toy whistle, boy
Time: 140: Elf David:     Wrapped toy whistle, boy
Time: 141: Elf David:     Placed toy whistle, boy
Time: 142: Elf David:     Selected toy whistle, boy
Time: 142: Elf David:     Wrapped toy whistle, boy
Time: 142: Elf David:     Placed toy whistle, boy
Time: 143: Elf David:     Selected toy doll, girl
Time: 143: Elf David:     Wrapped toy doll, girl
Time: 144: Elf David:     Placed toy doll, girl
Time: 145: Elf David:     Selected toy fake tattoo, boy
Time: 145: Elf David:     Wrapped toy fake tattoo, boy
Time: 146: Elf David:     Placed toy fake tattoo, boy
Time: 146: Elf David:     Selected toy bracelet, boy
Time: 146: Elf David:     Wrapped toy bracelet, boy
Time: 146: Elf David:     Placed toy bracelet, boy
Time: 148: Elf David:     Selected toy bracelet, boy
Time: 149: Elf David:     Wrapped toy bracelet, boy
Time: 150: Elf David:     Placed toy bracelet, boy
Time: 151: Elf David:     Selected toy doll, girl
Time: 152: Elf David:     Wrapped toy doll, girl
Time: 152: Elf David:     Placed toy doll, girl
Time: 154: Elf David:     Selected toy whistle, boy
Time: 154: Elf David:     Wrapped toy whistle, boy
Time: 155: Elf David:     Placed toy whistle, boy
Time: 155: Elf David:     Selected toy train, boy
Time: 156: Elf David:     Wrapped toy train, boy
Time: 156: Elf David:     Placed toy train, boy
Time: 157: Elf David:     Selected toy train, boy
Time: 158: Elf David:     Wrapped toy train, boy
Time: 158: Elf David:     Placed toy train, boy
Time: 158: Elf David:     Selected toy bracelet, boy
Time: 159: Elf David:     Wrapped toy bracelet, boy
Time: 160: Elf David:     Placed toy bracelet, boy
Time: 160: Elf David:     Selected toy train, girl
Time: 161: Elf David:     Wrapped toy train, girl
Time: 162: Elf David:     Placed toy train, girl
Time: 163: Elf David:     Selected toy bracelet, boy
Time: 163: Elf David:     Wrapped toy bracelet, boy
Time: 164: Elf David:     Placed toy bracelet, boy
Time: 165: Elf David:     Selected toy fake tattoo, boy
Time: 165: Elf David:     Wrapped toy fake tattoo, boy
Time: 166: Elf David:     Placed toy fake tattoo, boy
Time: 166: Elf David:     Selected toy fake tattoo, boy
Time: 167: Elf David:     Wrapped toy fake tattoo, boy
Time: 167: Elf David:     Placed toy fake tattoo, boy
Time: 168: Elf David:     Selected toy fake tattoo, girl
Time: 169: Elf David:     Wrapped toy fake tattoo, girl
Time: 169: Elf David:     Placed toy fake tattoo, girl
Time: 170: Elf David:     Selected toy dinosaur, boy
Time: 170: Elf David:     Wrapped toy dinosaur, boy
Time: 170: Elf David:     Placed toy dinosaur, boy
Time: 172: Elf David:     Selected toy bracelet, girl
Time: 172: Elf David:     Wrapped toy bracelet, girl
Time: 173: Elf David:     Placed toy bracelet, girl
Time: 174: Elf David:     Selected toy doll, girl
Time: 174: Elf David:     Wrapped toy doll, girl
Time: 175: Elf David:     Placed toy doll, girl
Time: 176: Elf David:     Selected toy dinosaur, boy
Time: 176: Elf David:     Wrapped toy dinosaur, boy
Time: 177: Elf David:     Placed toy dinosaur, boy
Time: 177: Elf David:     Selected toy fake tattoo, boy
Time: 178: Elf David:     Wrapped toy fake tattoo, boy
Time: 178: Elf David:     Placed toy fake tattoo, boy
Time: 179: Elf David:     Selected toy fake tattoo, girl
Time: 180: Elf David:     Wrapped toy fake tattoo, girl
Time: 180: Elf David:     Placed toy fake tattoo, girl
Time: 181: Elf David:     Selected toy doll, girl
Time: 181: Elf David:     Wrapped toy doll, girl
Time: 181: Elf David:     Placed toy doll, girl
Time: 183: Elf David:     Selected toy whistle, boy
Time: 183: Elf David:     Wrapped toy whistle, boy
Time: 184: Elf David:     Placed toy whistle, boy
Time: 185: Elf David:     Selected toy bracelet, girl
Time: 185: Elf David:     Wrapped toy bracelet, girl
Time: 186: Elf David:     Placed toy bracelet, girl
Time: 188: Elf David:     Selected toy doll, boy
Time: 188: Elf David:     Wrapped toy doll, boy
Time: 188: Elf David:     Placed toy doll, boy
Time: 190: Elf David:     Selected toy train, girl
Time: 190: Elf David:     Wrapped toy train, girl
Time: 190: Elf David:     Placed toy train, girl
Time: 191: Elf David:     Selected toy bracelet, girl
Time: 191: Elf David:     Wrapped toy bracelet, girl
Time: 191: Elf David:     Placed toy bracelet, girl
Time: 192: Elf David:     Selected toy whistle, boy
Time: 193: Elf David:     Wrapped toy whistle, boy
Time: 193: Elf David:     Placed toy whistle, boy
Time: 194: Elf David:     Selected toy dinosaur, girl
Time: 195: Elf David:     Wrapped toy dinosaur, girl
Time: 195: Elf David:     Placed toy dinosaur, girl
Time: 196: Elf David:     Selected toy fake tattoo, boy
Time: 197: Elf David:     Wrapped toy fake tattoo, boy
Time: 197: Elf David:     Placed toy fake tattoo, boy
Time: 199: Elf David:     Selected toy doll, girl
Time: 199: Elf David:     Wrapped toy doll, girl
Time: 199: Elf David:     Placed toy doll, girl
Time: 200: Elf David:     Selected toy train, girl
Time: 201: Elf David:     Wrapped toy train, girl
Time: 201: Elf David:     Placed toy train, girl
Time: 201: Elf David:     Selected toy doll, girl
Time: 202: Elf David:     Wrapped toy doll, girl
Time: 202: Elf David:     Placed toy doll, girl
Time: 204: Elf David:     Selected toy dinosaur, girl
Time: 205: Elf David:     Wrapped toy dinosaur, girl
Time: 205: Elf David:     Placed toy dinosaur, girl
Time: 206: Elf David:     Selected toy dinosaur, boy
Time: 207: Elf David:     Wrapped toy dinosaur, boy
Time: 207: Elf David:     Placed toy dinosaur, boy
Time: 209: Elf David:     Selected toy bracelet, girl
Time: 209: Elf David:     Wrapped toy bracelet, girl
Time: 210: Elf David:     Placed toy bracelet, girl
Time: 211: Elf David:     Selected toy fake tattoo, girl
Time: 211: Elf David:     Wrapped toy fake tattoo, girl
Time: 212: Elf David:     Placed toy fake tattoo, girl
Time: 214: Elf David:     Selected toy fake tattoo, boy
Time: 214: Elf David:     Wrapped toy fake tattoo, boy
Time: 215: Elf David:     Placed toy fake tattoo, boy
Time: 216: Elf David:     Selected toy train, boy
Time: 217: Elf David:     Wrapped toy train, boy
Time: 217: Elf David:     Placed toy train, boy
Time: 218: Elf David:     Selected toy train, girl
Time: 219: Elf David:     Wrapped toy train, girl
Time: 219: Elf David:     Placed toy train, girl
Time: 219: Elf David:     Selected toy doll, girl
Time: 220: Elf David:     Wrapped toy doll, girl
Time: 220: Elf David:     Placed toy doll, girl
Time: 222: Elf David:     Selected toy train, girl
Time: 222: Elf David:     Wrapped toy train, girl
Time: 223: Elf David:     Placed toy train, girl
Time: 223: Elf David:     Selected toy whistle, girl
Time: 224: Elf David:     Wrapped toy whistle, girl
Time: 224: Elf David:     Placed toy whistle, girl
Time: 225: Elf David:     Selected toy whistle, boy
Time: 226: Elf David:     Wrapped toy whistle, boy
Time: 226: Elf David:     Placed toy whistle, boy
Time: 226: Elf David:     Selected toy fake tattoo, girl
Time: 227: Elf David:     Wrapped toy fake tattoo, girl
Time: 227: Elf David:     Placed toy fake tattoo, girl
Time: 229: Elf David:     Selected toy whistle, boy
Time: 229: Elf David:     Wrapped toy whistle, boy
Time: 230: Elf David:     Placed toy whistle, boy
Time: 232: Elf David:     Selected toy doll, girl
Time: 232: Elf David:     Wrapped toy doll, girl
Time: 233: Elf David:     Placed toy doll, girl
Time: 234: Elf David:     Selected toy fake tattoo, girl
Time: 234: Elf David:     Wrapped toy fake tattoo, girl
Time: 235: Elf David:     Placed toy fake tattoo, girl
Time: 236: Elf David:     Selected toy dinosaur, boy
Time: 237: Elf David:     Wrapped toy dinosaur, boy
Time: 238: Elf David:     Placed toy dinosaur, boy
Time: 239: Elf David:     Selected toy bracelet, girl
Time: 239: Elf David:     Wrapped toy bracelet, girl
Time: 240: Elf David:     Placed toy bracelet, girl
Time: 242: Elf David:     Selected toy bracelet, girl
Time: 242: Elf David:     Wrapped toy bracelet, girl
Time: 242: Elf David:     Placed toy bracelet, girl
Time: 243: Elf David:     Selected toy train, girl
Time: 243: Elf David:     Wrapped toy train, girl
Time: 243: Elf David:     Placed toy train, girl
Time: 245: Elf David:     Selected toy whistle, girl
Time: 246: Elf David:     Wrapped toy whistle, girl
Time: 246: Elf David:     Placed toy whistle, girl
Time: 247: Elf David:     Selected toy dinosaur, girl
Time: 248: Elf David:     Wrapped toy dinosaur, girl
Time: 248: Elf David:     Placed toy dinosaur, girl
Time: 249: Elf David:     Selected toy bracelet, girl
Time: 249: Elf David:     Wrapped toy bracelet, girl
Time: 250: Elf David:     Placed toy bracelet, girl
Time: 251: Elf David:     Selected toy whistle, boy
Time: 251: Elf David:     Wrapped toy whistle, boy
Time: 252: Elf David:     Placed toy whistle, boy
Time: 253: Elf David:     Selected toy dinosaur, girl
Time: 254: Elf David:     Wrapped toy dinosaur, girl
Time: 254: Elf David:     Placed toy dinosaur, girl
Time: 255: Elf David:     Selected toy fake tattoo, boy
Time: 256: Elf David:     Wrapped toy fake tattoo, boy
Time: 256: Elf David:     Placed toy fake tattoo, boy
Time: 257: Elf David:     Selected toy bracelet, boy
Time: 257: Elf David:     Wrapped toy bracelet, boy
Time: 257: Elf David:     Placed toy bracelet, boy
Time: 258: Elf David:     Selected toy dinosaur, boy
Time: 258: Elf David:     Wrapped toy dinosaur, boy
Time: 258: Elf David:     Placed toy dinosaur, boy
Time: 260: Elf David:     Selected toy fake tattoo, girl
Time: 260: Elf David:     Wrapped toy fake tattoo, girl
Time: 261: Elf David:     Placed toy fake tattoo, girl
Time: 262: Elf David:     Selected toy doll, boy
Time: 262: Elf David:     Wrapped toy doll, boy
Time: 263: Elf David:     Placed toy doll, boy
Time: 263: Elf David:     Selected toy fake tattoo, boy
Time: 263: Elf David:     Wrapped toy fake tattoo, boy
Time: 264: Elf David:     Placed toy fake tattoo, boy
Time: 266: Elf David:     Selected toy train, boy
Time: 266: Elf David:     Wrapped toy train, boy
Time: 266: Elf David:     Placed toy train, boy
Time: 267: Elf David:     Selected toy whistle, girl
Time: 268: Elf David:     Wrapped toy whistle, girl
Time: 268: Elf David:     Placed toy whistle, girl
Time: 269: Elf David:     Selected toy fake tattoo, girl
Time: 269: Elf David:     Wrapped toy fake tattoo, girl
Time: 269: Elf David:     Placed toy fake tattoo, girl
Time: 269: Elf David:     Selected toy dinosaur, boy
Time: 270: Elf David:     Wrapped toy dinosaur, boy
Time: 271: Elf David:     Placed toy dinosaur, boy
Time: 271: Elf David:     Selected toy train, girl
Time: 272: Elf David:     Wrapped toy train, girl
Time: 272: Elf David:     Placed toy train, girl
Time: 272: Elf David:     Selected toy bracelet, boy
Time: 273: Elf David:     Wrapped toy bracelet, boy
Time: 273: Elf David:     Placed toy bracelet, boy
Time: 274: Elf David:     Selected toy train, girl
Time: 275: Elf David:     Wrapped toy train, girl
Time: 276: Elf David:     Placed toy train, girl
Time: 276: Elf David:     Selected toy dinosaur, girl
Time: 277: Elf David:     Wrapped toy dinosaur, girl
Time: 278: Elf David:     Placed toy dinosaur, girl
Time: 279: Elf David:     Selected toy bracelet, boy
Time: 279: Elf David:     Wrapped toy bracelet, boy
Time: 280: Elf David:     Placed toy bracelet, boy
Time: 281: Elf David:     Selected toy dinosaur, girl
Time: 281: Elf David:     Wrapped toy dinosaur, girl
Time: 281: Elf David:     Placed toy dinosaur, girl
Time: 283: Elf David:     Selected toy bracelet, girl
Time: 284: Elf David:     Wrapped toy bracelet, girl
Time: 284: Elf David:     Placed toy bracelet, girl
Time: 285: Elf David:     Selected toy bracelet, girl
Time: 286: Elf David:     Wrapped toy bracelet, girl
Time: 286: Elf David:     Placed toy bracelet, girl
Time: 287: Elf David:     Selected toy doll, girl
Time: 288: Elf David:     Wrapped toy doll, girl
Time: 288: Elf David:     Placed toy doll, girl
Time: 288: Elf David:     Selected toy whistle, girl
Time: 288: Elf David:     Wrapped toy whistle, girl
Time: 288: Elf David:     Placed toy whistle, girl
Time: 289: Elf David:     Selected toy whistle, girl
Time: 290: Elf David:     Wrapped toy whistle, girl
Time: 291: Elf David:     Placed toy whistle, girl
Time: 292: Elf David:     Selected toy dinosaur, girl
Time: 292: Elf David:     Wrapped toy dinosaur, girl
Time: 293: Elf David:     Placed toy dinosaur, girl
Time: 294: Elf David:     Selected toy train, girl
Time: 295: Elf David:     Wrapped toy train, girl
Time: 295: Elf David:     Placed toy train, girl
Time: 297: Elf David:     Selected toy dinosaur, boy
Time: 298: Elf David:     Wrapped toy dinosaur, boy
Time: 298: Elf David:     Placed toy dinosaur, boy
Time: 298: Elf David:     Selected toy whistle, girl
Time: 298: Elf David:     Wrapped toy whistle, girl
Time: 299: Elf David:     Placed toy whistle, girl
Time: 300: Elf David:     Selected toy dinosaur, boy
Time: 300: Elf David:     Wrapped toy dinosaur, boy
Time: 301: Elf David:     Placed toy dinosaur, boy
Time: 302: Elf David:     Selected toy fake tattoo, girl
Time: 303: Elf David:     Wrapped toy fake tattoo, girl
Time: 303: Elf David:     Placed toy fake tattoo, girl
Time: 305: Elf David:     Selected toy whistle, girl
Time: 306: Elf David:     Wrapped toy whistle, girl
Time: 306: Elf David:     Placed toy whistle, girl
Time: 306: Elf David:     Selected toy train, girl
Time: 307: Elf David:     Wrapped toy train, girl
Time: 307: Elf David:     Placed toy train, girl
Time: 308: Elf David:     Selected toy doll, girl
Time: 308: Elf David:     Wrapped toy doll, girl
Time: 309: Elf David:     Placed toy doll, girl
Time: 310: Elf David:     Selected toy train, boy
Time: 310: Elf David:     Wrapped toy train, boy
Time: 310: Elf David:     Placed toy train, boy
Time: 311: Elf David:     Selected toy train, boy
Time: 312: Elf David:     Wrapped toy train, boy
Time: 312: Elf David:     Placed toy train, boy
Time: 313: Elf David:     Selected toy whistle, boy
Time: 313: Elf David:     Wrapped toy whistle, boy
Time: 313: Elf David:     Placed toy whistle, boy
Time: 314: Elf David:     Selected toy train, girl
Time: 314: Elf David:     Wrapped toy train, girl
Time: 315: Elf David:     Placed toy train, girl
Time: 317: Elf David:     Selected toy doll, girl
Time: 317: Elf David:     Wrapped toy doll, girl
Time: 318: Elf David:     Placed toy doll, girl
Time: 318: Elf David:     Selected toy whistle, boy
Time: 319: Elf David:     Wrapped toy whistle, boy
Time: 320: Elf David:     Placed toy whistle, boy
Time: 321: Elf David:     Selected toy fake tattoo, boy
Time: 322: Elf David:     Wrapped toy fake tattoo, boy
Time: 322: Elf David:     Placed toy fake tattoo, boy
Time: 322: Elf David:     Selected toy fake tattoo, boy
Time: 323: Elf David:     Wrapped toy fake tattoo, boy
Time: 324: Elf David:     Placed toy fake tattoo, boy
Time: 325: Elf David:     Selected toy whistle, girl
Time: 326: Elf David:     Wrapped toy whistle, girl
Time: 327: Elf David:     Placed toy whistle, girl
Time: 329: Elf David:     Selected toy bracelet, boy
Time: 329: Elf David:     Wrapped toy bracelet, boy
Time: 329: Elf David:     Placed toy bracelet, boy
Time: 331: Elf David:     Selected toy fake tattoo, boy
Time: 332: Elf David:     Wrapped toy fake tattoo, boy
Time: 332: Elf David:     Placed toy fake tattoo, boy
Time: 333: Elf David:     Selected toy bracelet, boy
Time: 334: Elf David:     Wrapped toy bracelet, boy
Time: 334: Elf David:     Placed toy bracelet, boy
Time: 335: Elf David:     Selected toy doll, girl
Time: 336: Elf David:     Wrapped toy doll, girl
Time: 336: Elf David:     Placed toy doll, girl
Time: 337: Elf David:     Selected toy train, boy
Time: 338: Elf David:     Wrapped toy train, boy
Time: 339: Elf David:     Placed toy train, boy
Time: 340: Elf David:     Selected toy dinosaur, girl
Time: 341: Elf David:     Wrapped toy dinosaur, girl
Time: 341: Elf David:     Placed toy dinosaur, girl
Time: 343: Elf David:     Selected toy dinosaur, boy
Time: 343: Elf David:     Wrapped toy dinosaur, boy
Time: 344: Elf David:     Placed toy dinosaur, boy
Time: 344: Elf David:     Selected toy whistle, girl
Time: 345: Elf David:     Wrapped toy whistle, girl
Time: 345: Elf David:     Placed toy whistle, girl
Time: 345: Elf David:     Selected toy train, girl
Time: 345: Elf David:     Wrapped toy train, girl
Time: 346: Elf David:     Placed toy train, girl
Time: 347: Elf David:     Selected toy bracelet, boy
Time: 348: Elf David:     Wrapped toy bracelet, boy
Time: 348: Elf David:     Placed toy bracelet, boy
Time: 349: Elf David:     Selected toy train, girl
Time: 349: Elf David:     Wrapped toy train, girl
Time: 350: Elf David:     Placed toy train, girl
Time: 351: Elf David:     Selected toy whistle, boy
Time: 351: Elf David:     Wrapped toy whistle, boy
Time: 352: Elf David:     Placed toy whistle, boy
Time: 353: Elf David:     Selected toy dinosaur, girl
Time: 353: Elf David:     Wrapped toy dinosaur, girl
Time: 354: Elf David:     Placed toy dinosaur, girl
Time: 355: Elf David:     Selected toy dinosaur, girl
Time: 356: Elf David:     Wrapped toy dinosaur, girl
Time: 357: Elf David:     Placed toy dinosaur, girl
Time: 358: Elf David:     Selected toy dinosaur, girl
Time: 359: Elf David:     Wrapped toy dinosaur, girl
Time: 359: Elf David:     Placed toy dinosaur, girl
Time: 361: Elf David:     Selected toy dinosaur, girl
Time: 361: Elf David:     Wrapped toy dinosaur, girl
Time: 361: Elf David:     Placed toy dinosaur, girl
Time: 362: Elf David:     Selected toy fake tattoo, girl
